id;code;asset_id;description;created_at;updated_at
-1;UNK;-1;Unknown;2017-09-19 09:09:55;2017-09-19 09:09:55
1;I;1;EP Safety Crit Equipment;2017-09-19 09:09:55;2017-09-19 09:09:55
2;J;1;EP Enviro Crit Equipment;2017-09-19 09:09:55;2017-09-19 09:09:55
3;K;1;EP Prod Crit - High;2017-09-19 09:09:55;2017-09-19 09:09:55
4;L;1;EP Prod Crit - Med;2017-09-19 09:09:55;2017-09-19 09:09:55
5;M;1;EP Prod Crit - Low;2017-09-19 09:09:55;2017-09-19 09:09:55
6;N;1;EP Non CritX Equip;2017-09-19 09:09:55;2017-09-19 09:09:55
7;I;2;EP Safety Crit Equipment;2017-09-19 09:09:55;2017-09-19 09:09:55
8;J;2;EP Enviro Crit Equipment;2017-09-19 09:09:55;2017-09-19 09:09:55
9;K;2;EP Prod Crit - High;2017-09-19 09:09:55;2017-09-19 09:09:55
10;L;2;EP Prod Crit - Med;2017-09-19 09:09:55;2017-09-19 09:09:55
11;M;2;EP Prod Crit - Low;2017-09-19 09:09:55;2017-09-19 09:09:55
12;N;2;EP Non Crit Equip;2017-09-19 09:09:55;2017-09-19 09:09:55
13;Z;2;EP NonDummyip;2017-09-19 09:09:55;2017-09-19 09:09:55
