id;code;asset_id;description;created_at;updated_at
-1;UNK;-1;Unknown;2017-09-19 09:09:55;2017-09-19 09:09:55
1;COA;1;Construction Anomalies;2017-09-19 09:09:55;2017-09-19 09:09:55
2;ELE;1;Electrical;2017-09-19 09:09:55;2017-09-19 09:09:55
3;FMA;1;FM Anomalies;2017-09-19 09:09:55;2017-09-19 09:09:55
4;INS;1;Instrument;2017-09-19 09:09:55;2017-09-19 09:09:55
5;MEC;1;Mechanical;2017-09-19 09:09:55;2017-09-19 09:09:55
6;PDN;1;Production;2017-09-19 09:09:55;2017-09-19 09:09:55
7;PPM;1;Preventive Maintenance;2017-09-19 09:09:55;2017-09-19 09:09:55
8;QAC;1;QA/QC;2017-09-19 09:09:55;2017-09-19 09:09:55
9;REF;1;Refurbishment;2017-09-19 09:09:55;2017-09-19 09:09:55
10;TEL;1;Telecoms;2017-09-19 09:09:55;2017-09-19 09:09:55
11;TRD;1;Support Trades;2017-09-19 09:09:55;2017-09-19 09:09:55
12;AIE;2;Asset Integrity En;2017-09-19 09:09:55;2017-09-19 09:09:55
13;CON;2;Configuration Chng;2017-09-19 09:09:55;2017-09-19 09:09:55
14;ELE;2;Electrical (Off Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
15;ENG;2;Engineering;2017-09-19 09:09:55;2017-09-19 09:09:55
16;FMS;2;Fiscal Metering;2017-09-19 09:09:55;2017-09-19 09:09:55
17;INS;2;Instrument (Off Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
18;MAS;2;Master Data Change;2017-09-19 09:09:55;2017-09-19 09:09:55
19;MEC;2;Mechanical (Off Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
20;NEL;2;Electrical (On Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
21;NIN;2;Instrument (On Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
22;NMC;2;Mechanocal (On Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
23;NPD;2;Production (On Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
24;PDN;2;Production (Off Sh);2017-09-19 09:09:55;2017-09-19 09:09:55
25;QAC;2;QA/QC Activities;2017-09-19 09:09:55;2017-09-19 09:09:55
26;REF;2;Refurbishment;2017-09-19 09:09:55;2017-09-19 09:09:55
