Functional Loc,FLOC Type,Description,SupFunctLoc,SupFL Description,ABC Indic,Criticality Justification,PSRef,PSRef2,NEW PS Ref.,NEW PS Ref. 2,NL SCE
CHIS,U_FLOC,Chiswick - Platform (unmanned),,,,High Level System Tag - No Criticality Value,,,,,
CHIS-C,U_FLOC,Controls,CHIS,Chiswick - Platform (unmanned),I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; High Level Fix,CH-PS10,,SECE09,,I
CHIS-C-CM,U_FLOC,Communication Systems,CHIS-C,Controls,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; High Level Fix,CH-PS10,,SECE09,,I
CHIS-C-CMMR,U_FLOC,VHF Radio System,CHIS-C-CM,Communication Systems,I,System Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMMR-CEN,U_FLOC,VHF Central Equipment,CHIS-C-CMMR,VHF Radio System,I,Inherited from System 'CHIS-C-CMMR' Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMMR-CENPNL,U_BOARD_D,VHF Panels,CHIS-C-CMMR-CEN,VHF Central Equipment,I,Inherited from System 'CHIS-C-CMMR' Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLD,U_FLOC,VHF Field equipment,CHIS-C-CMMR,VHF Radio System,I,Inherited from System 'CHIS-C-CMMR' Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT,U_MISC,"VHF, Antennas",CHIS-C-CMMR-FLD,VHF Field equipment,I,Inherited from System 'CHIS-C-CMMR' Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT-C9502,U_MISC,G.P.S. Antenna (M.O.B.) West,CHIS-C-CMMR-FLDANT,"VHF, Antennas",I,SCE Results in Agreement,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT-C9503,U_MISC,U.H.F. Antenna (M.O.B.) West,CHIS-C-CMMR-FLDANT,"VHF, Antennas",I,SCE Results in Agreement,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT-C9504,U_MISC,V.H.F. Antenna (M.O.B.) West,CHIS-C-CMMR-FLDANT,"VHF, Antennas",I,SCE Results in Agreement,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT-C9509,U_MISC,V.H.F. Antenna (FM) East,CHIS-C-CMMR-FLDANT,"VHF, Antennas",I,SCE Results in Agreement,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDANT-C9510,U_MISC,V.H.F. Antenna AM) West,CHIS-C-CMMR-FLDANT,"VHF, Antennas",I,SCE Results in Agreement,CH-PS10,,SECE09,,I
CHIS-C-CMMR-FLDJBX,U_J_BOX,"VHF, Junction Boxes",CHIS-C-CMMR-FLD,VHF Field equipment,I,Inherited from System 'CHIS-C-CMMR' Analysed Criticality Result,CH-PS10,,SECE09,,I
CHIS-C-CMTE,U_FLOC,Telecom System,CHIS-C-CM,Communication Systems,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-CEN,U_FLOC,Telecom Central Equipment,CHIS-C-CMTE,Telecom System,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-CENPNL,U_FLOC,Telecom Panels,CHIS-C-CMTE-CEN,Telecom Central Equipment,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-CENPNL-C9511,U_MISC,Comms Cabinet,CHIS-C-CMTE-CENPNL,Telecom Panels,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-FLD,U_MISC,"Telecom, Field equipment",CHIS-C-CMTE,Telecom System,I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-FLDANT,U_FLOC,"Siemens Telecom, Antennas",CHIS-C-CMTE-FLD,"Telecom, Field equipment",I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-FLDANT-C9507,U_MISC,"LOS Dish , to Markham J6A, East",CHIS-C-CMTE-FLDANT,"Siemens Telecom, Antennas",I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CMTE-FLDANT-C9508,U_MISC,"LOS Dish , to Markham J6A, East",CHIS-C-CMTE-FLDANT,"Siemens Telecom, Antennas",I,Agreed to be SCE-I review meeting 23/1/17,CH-PS10,,SECE09,,I
CHIS-C-CN,U_FLOC,Control Systems,CHIS-C,Controls,I,27/10/16 - ABC indicator adjusted on the basis of review meeting agreements; High Level Fix,CH-PS02,,SECE02,,I
CHIS-C-CNDS,U_FLOC,DCS System,CHIS-C-CN,Control Systems,K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-CEN,U_FLOC,DCS Central Equipment,CHIS-C-CNDS,DCS System,K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-CENPNL,U_BOARD_D,DCS Panels,CHIS-C-CNDS-CEN,DCS Central Equipment,K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-CENPNL-JC1001A,U_MISC,"CCSS, Bay A",CHIS-C-CNDS-CENPNL,DCS Panels,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNDS-CENPNL-JC1001B,U_MISC,"CCSS, Bay B",CHIS-C-CNDS-CENPNL,DCS Panels,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNDS-CENWST,U_MISC,DCS Work stations,CHIS-C-CNDS-CEN,DCS Central Equipment,K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-CENWST-JC1003,U_MISC,Remote PC,CHIS-C-CNDS-CENWST,DCS Work stations,L,Inherited from System 'CHIS-C-CNDS' Analysed Criticality Result,,,,,L
CHIS-C-CNDS-CENWST-JC1004,U_MISC,Remote PC,CHIS-C-CNDS-CENWST,DCS Work stations,L,Inherited from System 'CHIS-C-CNDS' Analysed Criticality Result,,,,,L
CHIS-C-CNDS-FLD,U_CL,"DCS, Field equipment",CHIS-C-CNDS,DCS System,K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-FLDCAB,U_BOARD_D,"DCS, Marshalling Cabinets",CHIS-C-CNDS-FLD,"DCS, Field equipment",I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNDS-FLDJB1,U_J_BOX,Junction Boxes Marshalling Bay A,CHIS-C-CNDS-FLD,"DCS, Field equipment",K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNDS-FLDJB2,U_J_BOX,Junction Boxes Marshalling Bay B,CHIS-C-CNDS-FLD,"DCS, Field equipment",K,Agreed to be SCE-K review meeting 23/1/17 No Redundancy,,,,,I
CHIS-C-CNEM,U_FLOC,ESD / PSS / F&G System,CHIS-C-CN,Control Systems,I,System Analysed Criticality Result,CH-PS02,,SECE02,,I
CHIS-C-CNEM-CEN,U_FLOC,ESD / F&G Central Equipment,CHIS-C-CNEM,ESD / PSS / F&G System,I,Inherited from System 'CHIS-C-CNEM' Analysed Criticality Result,CH-PS02,,SECE02,,I
CHIS-C-CNEM-CENPNL,U_BOARD_D,ESD / F&G Panels,CHIS-C-CNEM-CEN,ESD / F&G Central Equipment,I,Inherited from System 'CHIS-C-CNEM' Analysed Criticality Result,CH-PS02,,SECE02,,I
CHIS-C-CNEM-CENPNL-JC1001C,U_MISC,ESD / F&G Panel Bay C,CHIS-C-CNEM-CENPNL,ESD / F&G Panels,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
CHIS-C-CNEM-CENPNL-JC1001D,U_MISC,ESD / F&G Panel Bay D,CHIS-C-CNEM-CENPNL,ESD / F&G Panels,I,SCE Results in Agreement,CH-PS02,,SECE02,,I
