Functional Loc.	Description	Order Type	Order	MaintActivType	Description4	Planner group	Main WorkCtr	User status	System status	Priority	Estimated costs	Total act.costs	Total settlemt	TotalPlnndCosts	TotSum (plan)	Total rev. act.	Tot. plan. rev.	TotSum (actual)	ABC indic.	Reference Date	Ref. Element PM/PS	Address number	Reference time	Changed on	Changed by	Available to	Avail. to time	Asset	Subnumber	Available from	Available from30	SystemCondition	Work center	PriorityType	Res./Purc. req.	Subnetwork of	Order category	Plant WkCntr	Assembly	Assembly desc.	Plant section	Acctg Indicator	PO date	PO number	Company Code	City	District	Country	Device data	Sort field	Description50	Equipment	Created on	Entered by	Billing form	Actual release	Actual Finish	Actual finish	Basic fin. date	Sched. finish	Basic fin. time	Finish time	Business Area	Actual start	Bas. start date	Sched. start	ActualStart	Start time	SchedStartTime	Hist.fr.	Planning plant	Costing Sheet	Sales Document	Item	CO Area	Cost Center	Resp. cost cntr	Customer	Leading order	Deletion flag	Long txt exists	Description81	Superior order	Base Unit	Quantity	Room	List name	Object number	Paging status	PGrp Task List	OrderPlanInd.	Group Counter	Group	Postal Code	Profit Center	Priority95	WBS element	WBS ord. header	Notification	Region	Revision	Serial Number	Material	Service product	Service product104	Division	Division - Sales	Location	Street	MaintPlant	Telephone	Sales Office	Sales Group	Sales Org.	Sales Org. - Sales	Superior act.	Distr. Channel	Distr. Channel - Sal	Currency	MaintItem	MaintenancePlan	Plant	Comp	Overhead key	Earlst Allow Fin Dat	Earl Allow Start Dat	Latest Allow Fin Dat	Original Due Date	Object list	Catalog type	Code group	Coding
EIS-MDP1	Drilling Platform 1	UM02	86020204	COR	(SBT) PI831383	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/09/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/09/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020204							P9376	Priority 7			1000089807									MDP1		G301									GBP			GB05			03/10/2016	03/10/2016	03/05/2017	03/05/2017	"598,171.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020203	COR	(SBT) XZV53734	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/09/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/09/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020203							P9376	Priority 6			1000089809									MDP1		G301									GBP			GB05			03/10/2016	03/10/2016	09/06/2016	09/06/2016	"598,170.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020145	COR	(SBT) XZY-831295	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020145							P9376	Priority 6			1000089631									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	09/02/2016	09/02/2016	"598,119.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020144	COR	(SBT) XZY-43720	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020144							P9376	Priority 6			1000089630									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	09/02/2016	09/02/2016	"598,118.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020143	COR	(SBT) XZY-831319	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020143							P9376	Priority 7			1000089629									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	03/01/2017	03/01/2017	"598,117.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020142	COR	(SBT) ASP-831385	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020142							P9376	Priority 7			1000089627									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	03/01/2017	03/01/2017	"598,116.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020141	COR	(SBT) XZY-831317	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020141							P9376	Priority 7			1000089624									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	03/01/2017	03/01/2017	"598,115.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020140	COR	(SBT) XY-83257-1/2	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020140							P9376	Priority 6			1000089620									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	09/02/2016	09/02/2016	"598,114.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86020136	COR	(SBT) XY-83407-1&2	TRD	PI	RPEN PLAN	CRTD CSER NMAT PRC	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		03/01/2017			23:59:59	01/07/2017	WALKEA68		00:00:00				00:00:00			UN	2		30	G300							5703								01/07/2017	WALKEA68				00:00:00	03/01/2017	03/01/2017	24:00:00	07:00:00			03/01/2017	03/01/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703C138								0.000	MSF		OR000086020136							P9376	Priority 7			1000089596									MDP1		G301									GBP			GB05			03/06/2016	03/06/2016	03/01/2017	03/01/2017	"598,110.000"	D	UPCODE1	02
EIS-MDP1	Drilling Platform 1	UM02	86019168	COR	Install DP1 Laydown Area Deck Signs	COA	PT	EXEC PLAN	REL  CSER NMAT PRC  SETC	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		02/16/2017			23:59:59	01/17/2017	EPM_CPIC		00:00:00				00:00:00			UN	3		30	G300							5703								11/14/2016	WALKEA68		11/14/2016		00:00:00	02/19/2017	02/19/2017	24:00:00	07:05:25			02/16/2017	02/16/2017	00:00:00	00:00:00	07:00:00		GB05	PP-PC1		000000	CENT	CE5703G072	CE5703G006				E				0.000	MSF		OR000086019168							P9376	Priority 5			1000097758									MDP1		G301									GBP			GB05			11/14/2016	11/14/2016	01/13/2017	01/13/2017	"590,143.000"	D	UPCODE1	02
