Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81000286,GROV-P-WHXM-W02CHV-13TT202,TT Upstream Choke Valve Well 201,TT Flowline Well 201  I400  Transmitter,INS,INST,U,03/27/2013,,,10:26:39,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000015,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:52:45,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000286,"395,683.00",,,1,,,,P9056,4,Low,,,,,,3000160381,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000287,GROV-P-WHXM-W02FLL-13TT201,TT Flowline Well 201,TT Downstream Choke Well 201  I400  Tran,INS,INST,U,03/27/2013,,,10:26:40,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000017,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:53:51,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000287,"395,684.00",,,1,,,,P9056,4,Low,,,,,,3000160382,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000288,GROV-P-WHXM-W01FLL-13PT106,PT Flowline Well 101,PT Downstream Choke Well 101  I400  Tran,INS,INST,U,03/27/2013,,,10:26:39,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000024,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:51:39,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000288,"395,685.00",,,1,,,,P9056,4,Low,,,,,,3000160383,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000289,GROV-P-WHXM-W02FLL-13PT206,PT Flowline Well 201,PT Downstream Choke Well 201  I400  Tran,INS,INST,U,03/27/2013,,,10:26:40,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000008,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:53:09,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000289,"395,686.00",,,1,,,,P9056,4,Low,,,,,,3000160384,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000290,GROV-P-PGME-EXPSDV-27PT001A,PT Export to J6A-CT 2oo3 LL-ESD2 HH-ESD3,PT Exportline to J6a  I400  Transmitter,INS,INST,U,04/03/2013,,,10:11:05,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000052,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,14:58:46,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000290,"395,687.00",,,1,,,,P9056,4,Low,,,,,,3000160385,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000291,GROV-P-WHXM-W01FLL-13TT101,TT Flowline Well 101,TT Downstream Choke Well 101  I400  Tran,INS,INST,U,03/27/2013,,,10:26:39,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000030,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:52:09,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000291,"395,688.00",,,1,,,,P9056,4,Low,,,,,,3000160386,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000292,GROV-P-WHXM-W01CHV-13TT102,TT Upstream Choke Valve Well 101,TT Flowline Well 101  I400  Transmitter,INS,INST,U,03/27/2013,,,10:26:38,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000029,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,09:50:52,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000292,"395,689.00",,,1,,,,P9056,4,Low,,,,,,3000160387,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000293,GROV-P-WHSS-WSTV23-18PT510C,PT HIPPS,PT Flowline Subsea  I400  Transmitter,INS,INST,U,04/03/2013,,,10:11:08,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000056,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,15:00:19,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000293,"395,690.00",,,1,,,,P9056,4,Low,,,,,,3000160388,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000294,GROV-P-WHSS-WSTV23-18PT510B,PT HIPPS,PT Flowline Subsea  I400  Transmitter,INS,INST,U,04/03/2013,,,10:11:07,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000055,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,14:59:56,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000294,"395,691.00",,,1,,,,P9056,4,Low,,,,,,3000160389,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000295,GROV-P-WHSS-WSTV23-18PT510A,PT HIPPS,PT Flowline Subsea  I400  Transmitter,INS,INST,U,04/03/2013,,,10:11:07,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000053,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,14:59:05,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000295,"395,692.00",,,1,,,,P9056,4,Low,,,,,,3000160390,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,03/12/2012
