Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
86000279,GROW-U-HPWH-PCKPU1,Hydraulic Pump A (TAG 65-PB-011A),Hydraulic Pump - Pump 65-HS-001A broke.,INS,INST,U,06/23/2012,,,14:42:29,09/21/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000038,,,03/12/2012,AAKERSLOOT,,03/19/2012,0.00,0.00,476.70,79.45,06/19/2012,17:35:16,0.00,476.70,79.45,04/09/2012,16:54:00,16:54:00,,04/09/2012,04/09/2012,15:54:00,15:54:00,15:54:00,,OHL,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000279,"396,852.00",,,,,,,P9056,3,Medium,,,,,,1000045461,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,,,,03/12/2012,05/07/2012,04/09/2012,04/09/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM02,,04/09/2012
86000280,GROW-U-HPWH-PCKPU1,Hydraulic Pump A (TAG 65-PB-011A),Subsea Wellhead 501 Control Panel  - Gro,INS,INST,U,06/19/2012,,,07:32:57,04/01/2015,FANDRIESSEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000050,,,03/12/2012,AAKERSLOOT,,03/19/2012,0.00,0.00,238.35,79.45,06/16/2012,07:51:17,0.00,238.35,79.45,04/09/2012,16:58:00,16:58:00,,04/09/2012,04/09/2012,15:58:00,15:58:00,15:58:00,,OHL,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000280,"396,853.00",,,,,,,P9056,3,Medium,,,,,,1000045462,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,04/01/2015,,,03/12/2012,05/07/2012,04/09/2012,04/09/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM02,,04/09/2012
86000281,GROW-U-HPWH-PCK,Hydraulic Power Unit (HPU),Subsea Wellhead 501 Control Panel  - hyd,INS,INST,U,06/19/2012,,,07:32:56,04/01/2015,FANDRIESSEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000085,,,03/12/2012,AAKERSLOOT,,03/19/2012,0.00,0.00,79.45,79.45,06/16/2012,07:51:42,0.00,79.45,79.45,04/09/2012,17:02:00,17:02:00,,04/09/2012,04/09/2012,16:02:00,16:02:00,16:02:00,,OHL,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000281,"396,854.00",,,,,,,P9056,3,Medium,,,,,,1000045464,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,04/01/2015,,,03/12/2012,05/07/2012,04/09/2012,04/09/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM02,,04/09/2012
86000282,GROW-U-HPWH,Wellhead Hydraulic Panels,Subsea Wellhead 501 Control Panel  - No,INS,INST,U,06/19/2012,,,07:32:56,04/01/2015,FANDRIESSEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000073,,,03/12/2012,AAKERSLOOT,,03/19/2012,0.00,0.00,238.35,79.45,06/16/2012,07:53:12,0.00,238.35,79.45,04/09/2012,17:06:00,17:06:00,,04/09/2012,04/09/2012,16:06:00,16:06:00,16:06:00,,OHL,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000282,"396,855.00",,,,,,,P9056,3,Medium,,,,,,1000045466,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,04/01/2015,,,03/12/2012,05/07/2012,04/09/2012,04/09/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM02,,04/09/2012
86000454,GROW-U-HPWH-PCKTNK,Hydraulic Reservoir,LevelGauge grove west returntank broken,INS,INST,U,04/24/2014,,,08:08:42,10/21/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,04/23/2012,PVEENEMA,,04/24/2012,0.00,0.00,384.80,367.80,07/20/2012,17:53:35,0.00,384.80,367.80,07/20/2012,17:53:00,17:53:35,,05/18/2012,05/18/2012,15:30:00,15:30:00,15:30:00,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000454,"399,696.00",,,,,,,P9056,3,Medium,,,,,,2000163906,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,04/24/2014,,,04/20/2012,06/15/2012,05/18/2012,05/18/2012,WCOM MERR,CLSD CNF  PRT  GMPS PRC  SETC,UM02,,07/20/2012
86000628,GROW-U-HPWH-PCKHPI,High Pressure Intensifiers,Replace defect intensifiers on WHCP-West,INS,INST,U,01/07/2013,,,15:41:05,09/17/2015,NNEIJMAN1,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,06/07/2012,AVISSER,,06/07/2012,0.00,0.00,"16,092.30","15,953.40",01/05/2013,14:15:03,0.00,"16,092.30","15,953.40",06/17/2012,08:59:00,08:59:51,,06/08/2012,06/14/2012,00:00:00,11:46:00,11:46:00,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000628,"403,892.00",,,,,,,P9056,1,Very High,,,,,,2000164213,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,09/10/2015,,,06/07/2012,06/21/2012,06/14/2012,06/14/2012,WCOM MERR ORNP,CLSD CNF  PRT  GMPS PRC  SETC,UM02,,06/17/2012
86000613,GROW-U-HPWH-PCKPU1-65HS011A,HS Discharge Pump Motor 65-PB-011A,suction filter needs replacement,INS,INST,U,06/23/2013,,,16:55:23,10/21/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,06/03/2012,CVANVLIET,,03/04/2013,0.00,0.00,138.00,158.90,05/20/2013,10:19:35,0.00,138.00,158.90,06/15/2012,17:07:00,17:07:00,,06/15/2012,06/15/2012,14:37:00,14:37:00,14:37:00,,REP,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000613,"403,741.00",,,,,,,P9056,2,High,,,,,,2000164192,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,10/21/2015,,,06/01/2012,06/29/2012,06/15/2012,06/15/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM02,,06/15/2012
86000611,GROW-U-HPWH-PCKPU1-65PB011A,Discharge Pump 65-PB-011A,pump is not working ok,INS,INST,U,07/15/2012,,,13:54:56,10/21/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,06/02/2012,CVANVLIET,,06/03/2012,0.00,0.00,"2,701.30","3,394.50",06/16/2012,07:52:38,0.00,"2,701.30","3,394.50",07/10/2012,16:26:00,16:26:00,,06/03/2012,07/10/2012,00:00:00,16:26:00,16:26:00,,REP,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,E,,,,0.000,,,OR000086000611,"403,737.00",,,,,,,P9056,1,Very High,,,,,,2000164190,,,,,,,,,,N105,,0.00,,,,,,,,EUR,,,NM01,10/21/2015,,,06/01/2012,06/15/2012,06/08/2012,07/10/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM02,,07/10/2012
81002184,GROW-P-WHSS-W01SSV-18XV501,Downhole Safety Valve Grove West Well,M800 Downhole Safety Valve Gro-West Well,MEC,MECH,U,06/08/2013,,,15:13:57,09/06/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,06/10/2012,IP1020120610,,06/10/2012,0.00,0.00,0.00,158.90,,00:00:00,0.00,0.00,158.90,09/17/2012,09:00:00,09:00:00,,,09/17/2012,00:00:00,07:00:00,07:00:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081002184,"404,111.00",,PDN,1,1,M800GR,,P9056,3,Medium,,,,,,3000163979,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022527,50019939,NM01,,,,08/20/2012,10/15/2012,09/17/2012,09/17/2012,WCOM,CLSD NMAT PRC  SETC,UM01,,09/17/2012
81003811,GROW-P-WHSS-W01CAS-18PT501,PT Annulus Pressure Transmitter,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:10:29,10/21/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:29:49,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003811,"407,813.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166133,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022525,50019937,NM01,10/21/2015,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003812,GROW-U-CHCI-INJSDV-42FT501,FT Corrosion Inhibotor to Grove West,I400 24M Transmitter,INS,INST,U,04/08/2013,,,12:59:49,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:30:04,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003812,"407,814.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166134,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022528,50019940,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
