Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81000189,MST1-U-SWUT-WPUPMP-P5601,Service Water Pump,SERVICE water Pump - M275 - Servicewater,MEC,MECH,U,04/29/2012,,,15:58:43,07/28/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000090,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/23/2012,11:18:09,0.00,79.45,79.45,03/02/2012,12:37:00,12:37:00,,03/02/2012,03/02/2012,11:07:00,11:07:00,11:07:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000189,"395,549.00",,,1,,,,P9056,4,Low,,,,,,3000160281,,,,,,,,CELLAR,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/14/2011,07/20/2012,03/02/2012,03/02/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/02/2012
81000190,MST1-H-SAEE-PERJAC-80LJA0004,"Life Jackets, Box 13  8, South Side",Lifejackets/AbandonSuit Box 1 South side,PDN,OPS,U,06/15/2012,,,10:44:35,09/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000077,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,06/03/2012,10:45:15,0.00,79.45,79.45,03/02/2012,12:37:00,12:37:00,,03/02/2012,03/02/2012,11:07:00,11:07:00,11:07:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000190,"395,550.00",,,1,,,,P9056,3,Medium,,,,,,3000160282,,,,,,,,CELLAR,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/03/2012,03/30/2012,03/02/2012,03/02/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/02/2012
81000191,MST1-H-SAEE-PERJAC-80LJA0001,"Life Jackets, Box, 13, Muster Station",Lifejackets/Abandon Box Muster area FFLB,PDN,OPS,U,06/15/2012,,,10:44:30,09/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000076A,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,158.90,06/03/2012,10:53:43,0.00,158.90,158.90,03/02/2012,13:37:00,13:37:00,,03/02/2012,03/02/2012,11:07:00,11:07:00,11:07:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000191,"395,551.00",,,1,,,,P9056,3,Medium,,,,,,3000160283,,,,,,,,MEZZ,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/03/2012,03/30/2012,03/02/2012,03/02/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/02/2012
81000192,MST1-U-FUGO-TRFPU2-P6301B,Diesel Transfer Pump B,Diesel Transfer Pump B - M155 - Centrifu,MEC,MECH,U,04/14/2012,,,10:14:57,07/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,12000059,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/11/2012,11:09:02,0.00,79.45,79.45,03/03/2012,12:37:00,12:37:00,,03/03/2012,03/03/2012,11:07:00,11:07:00,11:07:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000192,"395,552.00",,,1,,,,P9056,3,Medium,,,,,,3000160284,,,,,,,,WEATH,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/04/2012,03/31/2012,03/03/2012,03/03/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/03/2012
81000193,MST1-U-FUGO-TRFPU1-P6301A,Diesel Transfer Pump A,Diesel Transfer Pump A - M155 - Centrifu,MEC,MECH,U,04/14/2012,,,10:14:48,07/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,12000060,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/11/2012,11:09:26,0.00,79.45,79.45,03/03/2012,12:38:00,12:38:00,,03/03/2012,03/03/2012,11:08:00,11:08:00,11:08:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000193,"395,553.00",,,1,,,,P9056,3,Medium,,,,,,3000160285,,,,,,,,WEATH,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/04/2012,03/31/2012,03/03/2012,03/03/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/03/2012
81000284,MST1-H-SARE,Rescue / Salvage / Medical Systems,Oxygen Resuscitator - Q001 - Re-Certific,PDN,OPS,U,02/05/2013,,,10:53:27,05/06/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000075,,,03/05/2012,FF_CECRIT_16,,03/06/2012,0.00,0.00,69.00,79.45,02/02/2013,15:57:12,0.00,69.00,79.45,03/05/2012,16:18:00,16:18:00,,03/05/2012,03/05/2012,14:48:00,14:48:00,14:48:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000284,"395,680.00",,,1,,,,P9056,3,Medium,,,,,,3000160347,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/06/2012,04/02/2012,03/05/2012,03/05/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/05/2012
81000148,MST1-U-ECHT,Heat Tracing System,Heattracing group 1R - E210 - Heat Traci,ELE,ELEC,U,05/12/2012,,,06:45:49,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000087,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:48:12,0.00,79.45,79.45,03/06/2012,12:33:00,12:33:00,,03/06/2012,03/06/2012,11:03:00,11:03:00,11:03:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000148,"395,507.00",,,1,,,,P9056,4,Low,,,,,,3000160240,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000149,MST1-U-ECHT,Heat Tracing System,Heattracing group 2R - E210 - Heat Traci,ELE,ELEC,U,05/12/2012,,,06:45:49,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000091,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:48:27,0.00,79.45,79.45,03/06/2012,12:33:00,12:33:00,,03/06/2012,03/06/2012,11:03:00,11:03:00,11:03:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000149,"395,508.00",,,1,,,,P9056,4,Low,,,,,,3000160241,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000150,MST1-U-ECHT,Heat Tracing System,Heattracing group 3B - E210 - Heat Traci,ELE,ELEC,U,05/12/2012,,,06:45:50,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000093,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:48:38,0.00,79.45,79.45,03/06/2012,12:34:00,12:34:00,,03/06/2012,03/06/2012,11:04:00,11:04:00,11:04:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000150,"395,509.00",,,1,,,,P9056,4,Low,,,,,,3000160242,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000151,MST1-U-ECHT,Heat Tracing System,Heattracing group 2Y - E210 - Heat Traci,ELE,ELEC,U,05/12/2012,,,06:45:50,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000092,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:48:47,0.00,79.45,79.45,03/06/2012,12:34:00,12:34:00,,03/06/2012,03/06/2012,11:04:00,11:04:00,11:04:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000151,"395,510.00",,,1,,,,P9056,4,Low,,,,,,3000160243,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
