Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81000274,WIND-U-ECHT-CABMAI-ED78011B1,Heat Tracing Mezzanine Deck Instruments,Trace Heating Mezzanine Deck Instruments,ELE,ELEC,U,03/03/2013,,,13:29:42,06/01/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000042,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/17/2013,16:47:21,0.00,69.00,79.45,03/12/2012,16:19:00,16:19:00,,03/12/2012,03/12/2012,14:49:00,14:49:00,14:49:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000274,"395,669.00",,,1,,,,P9056,4,Low,,,,,,3000160368,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000275,WIND-U-ECHT-CABMAI-ED78011R,Heat Tracing  Wellhead Control Panel,Trace Heating Wellhead Control Panel  E2,ELE,ELEC,U,03/03/2013,,,13:29:44,06/01/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000039,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/17/2013,16:47:30,0.00,69.00,79.45,03/12/2012,16:19:00,16:19:00,,03/12/2012,03/12/2012,14:49:00,14:49:00,14:49:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000275,"395,670.00",,,1,,,,P9056,4,Low,,,,,,3000160369,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000276,WIND-U-ECHT-CABMAI-ED78011Y1,Heat Tracing Cellar Deck Instruments,Trace Heating Cellar Deck Instruments  E,ELE,ELEC,U,03/03/2013,,,13:29:40,06/01/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000038,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/17/2013,16:47:11,0.00,69.00,79.45,03/12/2012,16:19:00,16:19:00,,03/12/2012,03/12/2012,14:49:00,14:49:00,14:49:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000276,"395,671.00",,,1,,,,P9056,4,Low,,,,,,3000160370,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000277,WIND-U-ECHT-CABMAI-ED78012Y1,Heat Tracing Cellar Deck Drains,Trace Heating Cellar Deck Drains  E211,ELE,ELEC,U,03/03/2013,,,13:29:38,06/01/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000037,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/17/2013,16:46:58,0.00,69.00,79.45,03/12/2012,16:20:00,16:20:00,,03/12/2012,03/12/2012,14:50:00,14:50:00,14:50:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000277,"395,672.00",,,1,,,,P9056,4,Low,,,,,,3000160371,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000239,WIND-H-SAEE-RAFINF,Inflatable Raft,Liferaft  Q160  S30 Liferaft yearly test,PDN,OPS,U,04/29/2012,,,17:06:01,07/28/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000051,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/27/2012,08:43:10,0.00,79.45,79.45,03/12/2012,16:16:00,16:16:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000239,"395,634.00",,,1,,,,P9056,3,Medium,,,,,,3000160332,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000240,WIND-H-SAEE-RAFINF,Inflatable Raft,Liferaft  Q160  S30 Liferaft yearly test,PDN,OPS,U,04/29/2012,,,17:06:08,07/28/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000048,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/27/2012,08:59:36,0.00,79.45,79.45,03/12/2012,16:16:00,16:16:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000240,"395,635.00",,,1,,,,P9056,3,Medium,,,,,,3000160333,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000241,WIND-H-SAEE-RAFINF,Inflatable Raft,Liferaft  Q016  Lifejackets  Liferafts &,PDN,OPS,U,05/06/2012,,,13:34:31,08/04/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000002,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/29/2012,17:45:13,0.00,79.45,79.45,03/12/2012,16:16:00,16:16:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000241,"395,636.00",,,1,,,,P9056,3,Medium,,,,,,3000160335,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000242,WIND-S-MOHD,Heli Deck,Winder. Helideck Frictape Perimeter Net,MEC,CRANE,U,05/06/2012,,,13:34:33,08/04/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000005B,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,"3,178.00",04/27/2012,08:06:02,0.00,79.45,"3,178.00",03/16/2012,12:46:00,12:46:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000242,"395,637.00",,,1,,,,P9056,3,Medium,,,,,,3000160336,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/16/2012
81000243,WIND-U-HLCR-DH1,Diesel Hydraulic Crane (WI-L-8101),Pedestal Crane  M545  Pedestal Crane,MEC,OPS,U,04/29/2012,,,17:06:36,07/28/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000012,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,158.90,04/27/2012,09:36:57,0.00,79.45,158.90,03/12/2012,17:16:00,17:16:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000243,"395,638.00",,,1,,,,P9056,3,Medium,,,,,,3000160337,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000244,WIND-P-PGDR-ODVPMP-P5301,Drain Tank Pump,Drains Tank Pump  M221  Drain Tanks Pump,MEC,OPS,U,05/06/2012,,,13:34:32,08/04/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000017,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,04/29/2012,17:48:51,0.00,79.45,79.45,03/12/2012,16:16:00,16:16:00,,03/12/2012,03/12/2012,14:46:00,14:46:00,14:46:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G050,CE5702C008,,,,,,,,0.000,,,OR000081000244,"395,639.00",,,1,,,,P9056,3,Medium,,,,,,3000160338,,,,,,,,,,N003,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
