facility_code,work_order_number,functional_location,work_order_description,order_type,planner_group,user_status,abc_field,work_centre,maint_activ_type,latest_allowable_finish_date,system_status
CHIS,81000206,CHIS-U-HLCR-EL1,Crane Hydraulic System - M191 - Filters,UM01,MEC,WCOM,U,MECH,SFC,04/04/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000208,CHIS-H-SAEE-BOAWLB,Lifeboat Sart Transponder - Q001 - Re-Ce,UM01,PDN,WCOM,U,OPS,SFC,04/04/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000209,CHIS-H-SAEE-RAFINF,Liferaft - Q016 - Lifejackets - Liferaft,UM01,PDN,WCOM,U,OPS,SFC,03/21/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000210,CHIS-H-SAEE-RAFINF,Liferaft - Q016 - Lifejackets - Liferaft,UM01,PDN,WCOM,U,OPS,SFC,03/21/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000211,CHIS-U-HLCR-EL1,Crane Wire Rope Forerunner WLL 5 Ton - Q,UM01,MEC,WCOM,U,OPS,SFC,03/21/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000212,CHIS-S-MOHD,Chiswick Helideck - O120 - Helideck Emer,UM01,MEC,WCOM,U,OPS,SFC,04/04/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000213,CHIS-S-MOHD,Chiswick Helideck Frictape Perimeter Net,UM01,MEC,WCOM,U,CRANE,SFC,04/04/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000216,CHIS-C-NAAD-FLDLGT,NAVIGATION EQUIPMENT - V301 - Vendor Ins,UM01,ELE,WCOM,U,GENCON,SFC,04/04/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000217,CHIS-U-HLCR-EL1,Crane Slewing Gear - S002 - Lub Oil Chan,UM01,MEC,WCOM,U,CRANE,SFC,04/12/2012,CLSD NMAT PRC  SETC
CHIS,81000218,CHIS-U-HLCR-EL1,Crane Winch Gear - S002 - Lub Oil Change,UM01,MEC,WCOM,U,CRANE,SFC,04/12/2012,CLSD PRT  NMAT PRC  SETC
CHIS,81000219,CHIS-U-HLCR-EL1,Pedestal Crane - S003 - Crane Bearing Gr,UM01,MEC,WCOM,U,CRANE,SFC,04/12/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000220,CHIS-U-HLCR-EL1,Crane Hydraulic System - S001 - Oil Samp,UM01,MEC,WCOM,U,CRANE,SFC,04/12/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000221,CHIS-U-HLCR-EL1,Pedestal Crane - S002 - Lub Oil Change &,UM01,MEC,WCOM,U,CRANE,SFC,04/12/2012,CLSD NMAT PRC  SETC
CHIS,81000222,CHIS-U-HPWH-WCP,WELLHEAD CONTROL SYSTEM - M511 - HPU AND,UM01,INS,WCOM,U,MECH,SFC,04/12/2012,CLSD CNF  NMAT PRC  SETC
CHIS,81000223,CHIS-P-PGME-EXPSDV-XXV30005,XXV ESDV Export Pipeline - M410 - Pipeli,UM01,MEC,WCOM,U,INST,SFC,03/30/2012,CLSD NMAT PRC  SETC
CHIS,81000224,CHIS-U-CHME-INJSDV-XXV55004,XV ESDV Methanol Injectieline - M410 - P,UM01,MEC,WCOM,U,MECH,SFC,03/30/2012,CLSD NMAT PRC  SETC
